Version,Server URL,Path,Method,Summary,Tags,Description,Parameters,Has Request Body,Request Body Detail,Responses,Operation ID
V1,/v1,/ats/position/{position_id},GET,공고 상세 정보 조회,ats,,#NAME?,No,,200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,get_position_detail_ats_position__position_id__get
V1,/v1,/ats/position/{position_id},DELETE,공고 삭제,ats,,#NAME?,No,,200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,delete_position_detail_ats_position__position_id__delete
V1,/v1,/ats/position/{position_id},PATCH,공고 상세 정보 수정,ats,,#NAME?,Yes,Content-Type: application/json (Required),200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,patch_position_detail_ats_position__position_id__patch
V1,/v1,/ats/position,POST,공고 등록,ats,,#NAME?,Yes,Content-Type: application/json (Required),200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,post_position_detail_ats_position_post
V1,/v1,/ats/position/{position_id}/hook,POST,공고 연동,ats,,#NAME?,Yes,Content-Type: application/json (Required),200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,post_position_hook_ats_position__position_id__hook_post
V1,/v1,/ats/position/{position_id}/applications,GET,공고 전체 지원서 목록,ats,,"- position_id (path, integer, required)
- limit (query, integer, optional): 페이지당 개수
- offset (query, integer, optional): offset
- x-wanted-dashboard-service-key (header, string, required)",No,,200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,get_all_applications_for_position_ats_position__position_id__applications_get
V1,/v1,/ats/application/{application_id},GET,지원서 개별 조회,ats,,#NAME?,No,,200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,get_application_detail_ats_application__application_id__get
V1,/v1,/ats/application/{application_id},POST,지원서 상태 변경,ats,,#NAME?,Yes,Content-Type: application/json (Required),200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,post_application_ats_application__application_id__post
V1,/v1,/ats/application/{application_id}/file/{file_key},GET,이력서 파일 다운로드,ats,,#NAME?,No,,200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,get_download_resume_ats_application__application_id__file__file_key__get
V2,/v2,/jobs,GET,(탐색) 포지션 리스트 조회,Job,,"- category_tag (query, integer, optional): 직군 태그ID
- subcategory_tags (query, array[integer], optional): 직무 태그ID(최대 5개)
- skill_tags (query, array[integer], optional): 스킬 태그 ID(최대 5개)
- attraction_tags (query, array[integer], optional): 매력 태그 ID(최대 5개)
- years (query, array[integer], optional): 경력. 10 입력시 연차 10년 이상의 포지션 노출됨
- locations (query, array[string], optional): 지역. 국가
- additional_apply_types (query, array[any], optional): 공고 지원 우대 자격
- sort (query, any, optional): 정렬
- offset (query, integer, optional)
- limit (query, integer, optional)",No,,200: Successful Response | 422: 필수 요청 데이터 누락 | 401: 비인증 사용자,get_job_list2_jobs_get
